този;this one
сит;sit
мрачно;gloomy
законопроект;bill
отчаяние;despair
JPG;JPG
постановление;resolution
46;46
амбиция;ambition
СОРТКАТ;SORTKAT
целя;the goal
пропуск;pass
тютюн;tobacco
далече;far away
употребявам;use
идеален;ideal
диск;disk
издателство;publishing house
накъде;where
валиден;valid
откритие;discovery
влияя;influencing
дишане;breathing
експертен;expert
ловеч;the hunter
нареждане;order
статистика;statistics
вселена;universe
тегля;tow
благодарност;gratitude
мебел;furniture
рус;rus
норвегия;norway
еди;eat
приказвам;I'm talking
жизнен;vital
смит;smith
тримесечие;quarter
пояснение;explanation
желязо;iron
плик;envelope
вторичен;secondary
съюзник;ally
принадлежност;affiliation
рисувам;I draw
отстраняване;removal
стимулирам;stimulate
класифицирам;classify
маркетингов;marketing
премахна;removed
колиба;hut
отвратителен;disgusting
bg;bg
найнапред;forward
кворум;quorum
китка;wrist
опера;opera
падане;fall
49;49
by;by
късен;late
престъпен;criminal
съзнавам;I am aware
достъпен;available
EО;EO
предотвратяване;prevention
алтернатива;alternative
длъжностен;official
изкажа;express
качвам;climb
акцент;accent
нерв;nerve
петко;Friday
църковен;church
мексико;Mexico
въздържа;abstains
